,Site,Year,Species,Temperature,Temp_Range
0,PRWI 2,2007,Eastern Wood-Pewee,18.5,10-20
1,PRWI 2,2007,Red-eyed Vireo,18.5,10-20
2,PRWI 2,2007,American Goldfinch,18.5,10-20
3,PRWI 2,2007,Ovenbird,18.5,10-20
4,PRWI 2,2007,Eastern Tufted Titmouse,18.5,10-20
5,PRWI 2,2007,Blue-gray Gnatcatcher,18.5,10-20
6,PRWI 2,2007,Red-eyed Vireo,18.5,10-20
7,PRWI 2,2007,Eastern Towhee,18.5,10-20
8,PRWI 2,2007,Downy Woodpecker,18.5,10-20
9,PRWI 2,2007,Ovenbird,18.5,10-20
10,PRWI 2,2007,Blue-gray Gnatcatcher,18.5,10-20
11,PRWI 2,2007,Pileated Woodpecker,18.5,10-20
12,PRWI 1,2007,Ovenbird,21.20000076,20-30
13,PRWI 1,2007,Acadian Flycatcher,21.20000076,20-30
14,PRWI 1,2007,Blue Jay,21.20000076,20-30
15,PRWI 1,2007,Hooded Warbler,21.20000076,20-30
16,PRWI 1,2007,Ovenbird,21.20000076,20-30
17,PRWI 1,2007,Red-eyed Vireo,21.20000076,20-30
18,PRWI 1,2007,Eastern Wood-Pewee,21.20000076,20-30
19,PRWI 1,2007,Red-eyed Vireo,22.20000076,20-30
20,PRWI 1,2007,Acadian Flycatcher,22.20000076,20-30
21,PRWI 1,2007,Acadian Flycatcher,22.20000076,20-30
22,PRWI 1,2007,Blue-gray Gnatcatcher,22.20000076,20-30
23,PRWI 1,2007,Downy Woodpecker,22.20000076,20-30
24,PRWI 1,2007,Eastern Wood-Pewee,22.20000076,20-30
25,PRWI 1,2007,Eastern Tufted Titmouse,22.20000076,20-30
26,PRWI 1,2007,Northern Flicker,22.20000076,20-30
27,PRWI 1,2007,Ovenbird,22.20000076,20-30
28,PRWI 3,2007,Red-bellied Woodpecker,21.60000038,20-30
29,PRWI 3,2007,Unidentified Chickadee,21.60000038,20-30
30,PRWI 3,2007,Scarlet Tanager,21.60000038,20-30
31,PRWI 3,2007,Red-eyed Vireo,21.60000038,20-30
32,PRWI 3,2007,Red-eyed Vireo,21.60000038,20-30
33,PRWI 3,2007,Pileated Woodpecker,21.60000038,20-30
34,PRWI 3,2007,Ovenbird,21.60000038,20-30
35,PRWI 3,2007,Northern Parula,21.60000038,20-30
36,PRWI 3,2007,Northern Cardinal,21.60000038,20-30
37,PRWI 3,2007,Hooded Warbler,21.60000038,20-30
38,PRWI 2,2007,Pine Warbler,25.60000038,20-30
39,PRWI 2,2007,Ovenbird,25.60000038,20-30
40,PRWI 2,2007,Eastern Tufted Titmouse,25.60000038,20-30
41,PRWI 2,2007,Prothonotary Warbler,25.60000038,20-30
42,PRWI 2,2007,Prothonotary Warbler,25.60000038,20-30
43,PRWI 2,2007,Red-eyed Vireo,25.60000038,20-30
44,PRWI 2,2007,Acadian Flycatcher,25.60000038,20-30
45,PRWI 2,2007,Worm-eating Warbler,25.60000038,20-30
46,PRWI 1,2007,Gray Catbird,22.20000076,20-30
47,PRWI 1,2007,Wood Thrush,22.20000076,20-30
48,PRWI 1,2007,Wood Thrush,22.20000076,20-30
49,PRWI 1,2007,Northern Cardinal,22.20000076,20-30
50,PRWI 1,2007,Red-eyed Vireo,22.20000076,20-30
51,PRWI 1,2007,Red-bellied Woodpecker,22.20000076,20-30
52,PRWI 1,2007,Cedar Waxwing,22.20000076,20-30
53,PRWI 1,2007,Northern Cardinal,22.20000076,20-30
54,PRWI 1,2007,Eastern Wood-Pewee,22.20000076,20-30
55,PRWI 1,2007,Red-eyed Vireo,22.20000076,20-30
56,PRWI 2,2007,Ovenbird,22.29999924,20-30
57,PRWI 2,2007,Ovenbird,22.29999924,20-30
58,PRWI 2,2007,Worm-eating Warbler,22.29999924,20-30
59,PRWI 2,2007,White-breasted Nuthatch,22.29999924,20-30
60,PRWI 2,2007,Scarlet Tanager,22.29999924,20-30
61,PRWI 2,2007,Scarlet Tanager,22.29999924,20-30
62,PRWI 2,2007,Downy Woodpecker,22.29999924,20-30
63,PRWI 2,2007,American Crow,22.29999924,20-30
64,PRWI 2,2007,Eastern Wood-Pewee,22.29999924,20-30
65,PRWI 2,2007,Blue Jay,22.29999924,20-30
66,PRWI 2,2007,Brown-headed Cowbird,22.29999924,20-30
67,PRWI 1,2007,Pileated Woodpecker,21.79999924,20-30
68,PRWI 1,2007,Worm-eating Warbler,21.79999924,20-30
69,PRWI 1,2007,White-breasted Nuthatch,21.79999924,20-30
70,PRWI 1,2007,Red-bellied Woodpecker,21.79999924,20-30
71,PRWI 1,2007,Eastern Wood-Pewee,21.79999924,20-30
