Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Unidentified Chickadee,Poecile,553526,263793,UNCH,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Canada Goose,Branta canadensis,174999,76625,CANG,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Unidentified Chickadee,Poecile,553526,263793,UNCH,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2016,2016-05-28,6:01,6:11,Ashley Lohr,1,7.5 - 10 min,Calling,,TRUE,Undetermined,Fish Crow,Corvus ossifragus,179737,87112,FICR,FALSE,FALSE,22.39999962,73.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
